platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr,arrival_location
AWS,r4.large,2.3,6,2,16.374534999999998,48060204216,lr,2024-01-21T07:00:00Z,3936.386,14680349.679104475,93.75023009950247,28.64243936567164,aws_us-west-1
AWS,m4.large,2.4,4,2,8.58992,24060201200,lr,2024-01-21T08:00:00Z,5123.189,8007998.263157895,97.949873294347,21.713808479532165,aws_us-west-1
AWS,c4.large,2.9,12,2,4.0265249999999995,48060213264,lr,2024-01-21T12:00:00Z,4696.213,3749929.935893522,97.27837047438793,17.636683558214788,aws_us-west-1
AWS,r4.large,2.3,4,2,16.374534999999998,6104163694,pagerank,2024-01-21T13:00:00Z,5487.277,4858143.754437869,31.024637573964498,69.15171301775148,aws_us-west-1
AWS,m4.xlarge,2.4,4,4,17.17984,48060202400,lr,2024-01-21T15:00:00Z,5435.784,16134885.801659126,98.18506221719458,21.23260746606335,aws_us-west-1
AWS,m4.large,2.4,8,2,8.58992,48060202400,lr,2024-01-22T00:00:00Z,5415.409,7939781.344478499,97.11546670381722,22.062333054704183,aws_us-west-1
AWS,c4.2xlarge,2.9,4,8,16.106099999999998,48060214464,lr,2024-01-21T01:00:00Z,5166.932,15169268.007117435,98.49567081850532,11.90238078291815,aws_us-west-1
AWS,c4.2xlarge,2.9,6,8,16.106099999999998,48060216864,lr,2024-01-21T02:00:00Z,4041.769,15093920.3001443,98.00639249639252,9.10186002886003,aws_us-west-1
AWS,c4.large,2.9,24,2,4.0265249999999995,48060216864,lr,2024-01-21T02:00:00Z,4373.981,3711527.1035954906,96.28216996864784,8.52063271296111,aws_us-west-1
AWS,c4.large,2.9,32,2,4.0265249999999995,48060238592,lr,2024-01-21T03:00:00Z,4034.47,3625875.8881845577,94.06026213239116,5.7887636391977555,aws_us-west-1
AWS,c4.large,2.9,12,2,4.0265249999999995,48060213264,lr,2024-01-21T04:00:00Z,4696.213,3749929.935893522,97.27837047438793,17.636683558214788,aws_us-west-1
AWS,c4.large,2.9,40,2,4.0265249999999995,48060212000,lr,2024-01-21T07:00:00Z,3929.261,3472070.878080388,90.07035407478628,5.204333758334553,aws_us-west-1
AWS,c4.large,2.9,6,2,4.0265249999999995,48060204216,lr,2024-01-21T08:00:00Z,6926.933,3762352.7641054047,97.60060299121626,21.78034580992324,aws_us-west-1
AWS,c4.large,2.9,32,2,4.0265249999999995,48060238592,lr,2024-01-21T09:00:00Z,4034.47,3625875.8881845577,94.06026213239116,5.7887636391977555,aws_us-west-1
AWS,r4.large,2.3,4,2,16.374534999999998,6104163694,pagerank,2024-01-21T10:00:00Z,5487.277,4858143.754437869,31.024637573964498,69.15171301775148,aws_us-west-1
